,0,1,2,3,4,z0,z1,z2,z3,z4
299,0.4171424148820105,5.472269004522267e-06,-4.69752952914279e-05,-0.0012576876483814665,0.3615147305584513,-3.496444333309655,-3.5219690807078345,-3.5749523614353023,-3.621376269526907,-3.6386802843322865
300,0.4225117351169373,5.544984884525826e-06,-4.763832832655661e-05,-0.0012762910032608817,0.3669489313528597,-3.493531843236094,-3.5190353288705105,-3.5719744752533487,-3.618359712867576,-3.635649313666454
301,0.42791303443316464,5.6181501968049236e-06,-4.830570861068587e-05,-0.0012950204376022997,0.3724202478049793,-3.490619353162533,-3.516101577033186,-3.568996589071395,-3.6153431562082448,-3.632618343000621
302,0.4333458533745184,5.691758236203486e-06,-4.8977364137819394e-05,-0.001313873562634372,0.377927936248709,-3.4877068630889725,-3.513167825195862,-3.5660187028894414,-3.612326599548914,-3.6295873723347882
303,0.4388097209268111,5.765802119991789e-06,-4.965322049881962e-05,-0.0013328479128327235,0.3834712285581942,-3.484794373015412,-3.5102340733585375,-3.563040816707488,-3.609310042889583,-3.6265564016689558
304,0.44430415696230563,5.840274788330706e-06,-5.033320059532784e-05,-0.0013519409455140228,0.3890493319978643,-3.4818818829418507,-3.507300321521213,-3.5600629305255342,-3.6062934862302516,-3.623525431003123
305,0.4498286735925958,5.915169005090469e-06,-5.10172254532714e-05,-0.0013711500404300708,0.39466144441934115,-3.47896939286829,-3.504366569683889,-3.5570850443435806,-3.603276929570921,-3.62049446033729
306,0.4553827630518343,5.990477360832869e-06,-5.170521391381043e-05,-0.001390472504073807,0.40030672144693247,-3.4760569027947295,-3.5014328178465646,-3.554107158161627,-3.6002603729115896,-3.617463489671457
307,0.4609659100141697,6.0661922700005715e-06,-5.2397082658465095e-05,-0.0014099055830621436,0.4059842988591901,-3.473144412721169,-3.4984990660092405,-3.5511292719796734,-3.5972438162522584,-3.614432519005624
308,0.4665775878781031,6.142305972328754e-06,-5.309274746206457e-05,-0.001429446437593401,0.41169328905432273,-3.470231922647608,-3.495565314171916,-3.54815138579772,-3.5942272595929277,-3.6114015483397917
309,0.4722172587818842,6.218810534163695e-06,-5.3792120246555324e-05,-0.0014490921501855779,0.4174327799012041,-3.4673194325740475,-3.4926315623345916,-3.545173499615766,-3.5912107029335965,-3.6083705776739587
310,0.47788437361890646,6.295697849368201e-06,-5.4495111411080556e-05,-0.0014688397269290384,0.4232018375805139,-3.464406942500487,-3.489697810497267,-3.5421956134338126,-3.5881941462742657,-3.605339607008126
311,0.48357838338411585,6.372959640295273e-06,-5.520162920377801e-05,-0.001488686097317883,0.4289995158729295,-3.4614944524269258,-3.486764058659943,-3.539217727251859,-3.5851775896149345,-3.602308636342293
312,0.48929871449652923,6.450587458830127e-06,-5.591157972042949e-05,-0.0015086281140812732,0.4348248248553881,-3.458581962353365,-3.4838303068226186,-3.5362398410699054,-3.5821610329556037,-3.5992776656764605
313,0.49504478575710253,6.528572687500385e-06,-5.662486745921336e-05,-0.0015286625558943632,0.4406767582215899,-3.4556694722798045,-3.4808965549852946,-3.533261954887952,-3.5791444762962725,-3.5962466950106275
314,0.5008160062335792,6.606906540657318e-06,-5.734139498856928e-05,-0.0015487861451685557,0.44655428552464843,-3.452756982206244,-3.47796280314797,-3.530284068705998,-3.5761279196369413,-3.5932157243447946
315,0.5066117742712166,6.685580070414775e-06,-5.806106184495339e-05,-0.0015689955209565723,0.45245635214743385,-3.4498444921326827,-3.4750290513106457,-3.5273061825240446,-3.5731113629776106,-3.5901847536789617
316,0.5124314775364541,6.764584165574742e-06,-5.8783765911712175e-05,-0.0015892872450872615,0.4583818878304991,-3.446932002059122,-3.4720952994733216,-3.524328296342091,-3.5700948063182794,-3.587153783013129
317,0.5182744987770032,6.843909548411368e-06,-5.9509402984491983e-05,-0.0016096578051405584,0.4643297994018488,-3.4440195119855614,-3.469161547635997,-3.5213504101601374,-3.567078249658948,-3.5841228123472963
318,0.5241402117155765,6.9235467793806255e-06,-6.023786677513926e-05,-0.001630103614533341,0.4702989583049187,-3.441107021912001,-3.466227795798673,-3.518372523978184,-3.5640616929996174,-3.5810918416814634
319,0.5300279700535346,7.003486258745959e-06,-6.096905020942403e-05,-0.0016506210126052833,0.47628821847027375,-3.43819453183844,-3.4632940439613487,-3.51539463779623,-3.561045136340286,-3.5780608710156305
320,0.5359371223214457,7.083718228276983e-06,-6.170284273184398e-05,-0.0016712062661350868,0.4822964104482308,-3.4352820417648795,-3.460360292124024,-3.5124167516142766,-3.558028579680955,-3.575029900349798
321,0.5418670070727859,7.164232773021563e-06,-6.243913211004727e-05,-0.0016918555895616035,0.4883223414466504,-3.432369551691319,-3.4574265402866997,-3.509438865432323,-3.5550120230216242,-3.571998929683965
322,0.5478169529591626,7.24501982315106e-06,-6.317780421715357e-05,-0.001712565120684551,0.49436481148382344,-3.4294570616177578,-3.4544927884493757,-3.5064609792503694,-3.551995466362293,-3.5689679590181322
323,0.5537862790855365,7.326069155878915e-06,-6.391874293845917e-05,-0.001733330921902016,0.5004225827880482,-3.426544571544197,-3.451559036612051,-3.5034830930684158,-3.5489789097029623,-3.5659369883522993
324,0.559774308191647,7.407370397778861e-06,-6.466183071759715e-05,-0.0017541489855032936,0.5064943951333085,-3.4236320814706365,-3.448625284774727,-3.500505206886462,-3.545962353043631,-3.5629060176864664
325,0.5657803348829048,7.48891302771913e-06,-6.540694878311345e-05,-0.0017750152340258692,0.5125789689503096,-3.420719591397076,-3.4456915329374027,-3.4975273207045086,-3.5429457963843003,-3.5598750470206335
326,0.5718036517644737,7.57068637721562e-06,-6.61539746790964e-05,-0.0017959255206124471,0.5186750025438277,-3.4178071013235147,-3.4427577811000782,-3.494549434522555,-3.539929239724969,-3.556844076354801
327,0.5778435423639471,7.652679633316306e-06,-6.690278484076274e-05,-0.0018168757171041043,0.5247811737084723,-3.414894611249954,-3.439824029262754,-3.4915715483406013,-3.536912683065638,-3.553813105688968
328,0.5838992812366773,7.734881841000191e-06,-6.76532538250629e-05,-0.0018378613378566752,0.5308961575651364,-3.4119821211763934,-3.4368902774254297,-3.4885936621586477,-3.533896126406307,-3.550782135023135
329,0.5899701340710954,7.817281905556077e-06,-6.840525432412859e-05,-0.0018588782100993158,0.5370185813428886,-3.409069631102833,-3.4339565255881057,-3.485615775976694,-3.530879569746976,-3.5477511643573028
330,0.5960553645672783,7.899868595035754e-06,-6.91586571787204e-05,-0.0018799219220843157,0.5431470616864756,-3.406157141029272,-3.4310227737507812,-3.4826378897947405,-3.5278630130876447,-3.54472019369147
331,0.6021542249474657,7.98263054278117e-06,-6.991333372781759e-05,-0.001900988001269375,0.5492801946787229,-3.4032446509557115,-3.4280890219134568,-3.479660003612787,-3.524846456428314,-3.541689223025637
332,0.6082659540006662,8.065556250025951e-06,-7.066915096174481e-05,-0.0019220719143176158,0.5554165560257206,-3.4003321608821504,-3.4251552700761323,-3.4766821174308333,-3.5218298997689828,-3.538658252359804
333,0.6143897858022275,8.148634088736576e-06,-7.142597446462682e-05,-0.0019431690670975612,0.5615547083362286,-3.3974196708085898,-3.4222215182388083,-3.4737042312488797,-3.5188133431096515,-3.535627281693971
334,0.6205249465131735,8.231852300087073e-06,-7.218366845843904e-05,-0.0019642748046887933,0.5676932012600596,-3.394507180735029,-3.419287766401484,-3.470726345066926,-3.515796786450321,-3.532596311028138
335,0.6266706545130825,8.315199002839883e-06,-7.294209547745554e-05,-0.0019853844234433036,0.5738305478174525,-3.3915946906614685,-3.4163540145641598,-3.4677484588849725,-3.5127802297909896,-3.5295653403623057
336,0.6328261220698717,8.398662194787424e-06,-7.370111638778864e-05,-0.002006493172349047,0.579965250122736,-3.388682200587908,-3.4134202627268353,-3.464770572703019,-3.5097636731316584,-3.526534369696473
337,0.6389905625126163,8.482229755254679e-06,-7.446059131231648e-05,-0.0020275962309750212,0.5860957918800418,-3.3857697105143467,-3.410486510889511,-3.461792686521065,-3.5067471164723276,-3.5235033990306404
338,0.6451631682059535,8.565889448086393e-06,-7.522037998466645e-05,-0.002048688726718817,0.5922206386439209,-3.382857220440786,-3.407552759052187,-3.4588148003391117,-3.503730559812997,-3.5204724283648074
339,0.6513431301994331,8.649628924707596e-06,-7.598033766349077e-05,-0.002069765735462315,0.5983382554175495,-3.3799447303672254,-3.4046190072148623,-3.4558369141571577,-3.5007140031536657,-3.5174414576989745
340,0.6575296328145451,8.733435727257053e-06,-7.674031941908871e-05,-0.0020908222813928157,0.6044470771099741,-3.3770322402936648,-3.4016852553775383,-3.4528590279752045,-3.4976974464943345,-3.5144104870331416
341,0.6637218538034874,8.81729729179376e-06,-7.750017885624442e-05,-0.0021118533350949725,0.6105455156477616,-3.374119750220104,-3.398751503540214,-3.4498811417932504,-3.4946808898350037,-3.5113795163673087
342,0.6699189645079311,8.901200951575738e-06,-7.825976814061016e-05,-0.0021328538166547517,0.6166319725997474,-3.3712072601465435,-3.3958177517028894,-3.4469032556112973,-3.4916643331756725,-3.508348545701476
343,0.676120137691024,8.985133934629048e-06,-7.901893802509317e-05,-0.0021538185970008963,0.6227048335847228,-3.3682947700729824,-3.392883999865565,-3.4439253694293432,-3.4886477765163413,-3.505317575035643
344,0.6823245335049745,9.069083365431841e-06,-7.977754029412528e-05,-0.002174742499246413,0.6287624685890724,-3.3653822799994217,-3.389950248028241,-3.44094748324739,-3.4856312198570105,-3.5022866043698104
345,0.6885313051481483,9.153036282683941e-06,-8.053542274595024e-05,-0.0021956203001059532,0.6348032325391874,-3.362469789925861,-3.387016496190917,-3.437969597065436,-3.4826146631976793,-3.4992556337039775
346,0.6947396024307967,9.23697963513996e-06,-8.129243228297182e-05,-0.0022164467418072683,0.6408254791036543,-3.3595572998523004,-3.3840827443535924,-3.434991710883483,-3.479598106538348,-3.496224663038145
347,0.7009485699258259,9.320900284960888e-06,-8.204841494340248e-05,-0.002237216526369942,0.6468275474399052,-3.3566448097787394,-3.381148992516268,-3.432013824701529,-3.4765815498790174,-3.493193692372312
348,0.7071573471518837,9.404785011291482e-06,-8.28032155840311e-05,-0.002257924310289242,0.652807757837153,-3.3537323197051787,-3.3782152406789434,-3.4290359385195757,-3.473564993219686,-3.4901627217064792
349,0.7133650712282389,9.488620513900368e-06,-8.355667791288793e-05,-0.0022785647112193025,0.6587644180281012,-3.350819829631618,-3.3752814888416194,-3.4260580523376216,-3.470548436560355,-3.4871317510406463
350,0.7195708790623682,9.57239341688254e-06,-8.430864524243254e-05,-0.002299132309496539,0.6646958235983955,-3.3479073395580574,-3.372347737004295,-3.4230801661556685,-3.467531879901024,-3.4841007803748134
